student_id,fee_submission_date,day_of_month
92,4/12/2024,12
43,3/9/2023,9
97,6/27/2023,27
34,12/4/2022,4
94,12/12/2021,12
17,2/24/2022,24
47,1/16/2022,16
92,2/17/2022,17
34,11/2/2022,2
9,6/15/2023,15
80,5/2/2023,2
96,7/29/2023,29
6,6/20/2023,20
70,3/26/2024,26
74,4/3/2023,3
4,6/24/2022,24
74,8/26/2023,26
41,12/16/2021,16
95,4/20/2022,20
93,3/7/2022,7
30,9/9/2024,9
64,4/20/2022,20
67,5/3/2024,3
80,10/14/2022,14
78,9/2/2023,2
44,6/24/2022,24
22,11/2/2022,2
45,8/29/2022,29
57,7/29/2023,29
97,6/29/2024,29
16,8/8/2022,8
96,4/16/2022,16
88,10/14/2022,14
26,3/7/2022,7
23,4/17/2024,17
22,4/26/2023,26
21,2/16/2023,16
65,9/30/2023,30
4,9/2/2023,2
36,7/29/2023,29
2,2/16/2023,16
47,3/3/2023,3
41,9/6/2022,6
50,9/2/2023,2
26,4/22/2024,22
78,3/30/2024,30
9,3/26/2024,26
48,10/21/2023,21
72,12/27/2022,27
38,11/18/2024,18
40,5/3/2024,3
2,3/20/2024,20
96,4/5/2023,5
41,9/6/2022,6
61,1/5/2022,5
28,6/12/2024,12
81,8/27/2023,27
38,9/4/2024,4
91,11/23/2024,23
68,9/6/2022,6
13,3/10/2023,10
66,6/15/2024,15
26,8/18/2022,18
96,11/1/2022,1
1,11/2/2022,2
91,6/12/2022,12
3,6/12/2022,12
82,10/10/2023,10
18,6/20/2023,20
65,6/12/2024,12
51,8/23/2024,23
96,10/14/2024,14
2,9/12/2024,12
64,4/21/2023,21
60,3/2/2024,2
70,8/11/2022,11
17,4/26/2023,26
19,12/28/2022,28
9,11/20/2023,20
83,9/2/2023,2
50,7/28/2022,28
76,8/23/2023,23
34,2/11/2022,11
35,12/4/2022,4
31,7/15/2024,15
25,11/18/2024,18
45,7/29/2022,29
86,4/19/2022,19
36,10/29/2022,29
98,3/9/2023,9
64,12/9/2022,9
82,12/29/2023,29
98,8/19/2022,19
50,1/31/2023,31
45,9/6/2022,6
54,3/2/2024,2
23,5/15/2024,15
65,3/3/2023,3
61,6/7/2023,7
2,6/12/2022,12
57,1/16/2022,16
57,2/2/2023,2
63,2/2/2023,2
27,6/12/2022,12
48,5/2/2024,2
40,3/30/2024,30
45,8/20/2024,20
69,6/6/2023,6
72,8/23/2024,23
49,5/8/2024,8
65,6/12/2022,12
20,6/15/2024,15
18,8/23/2024,23
80,1/6/2024,6
21,6/15/2024,15
69,11/11/2023,11
91,6/15/2024,15
69,11/25/2023,25
100,5/4/2024,4
37,6/23/2022,23
67,12/30/2022,30
9,8/19/2022,19
61,8/9/2022,9
37,6/20/2023,20
75,10/29/2024,29
55,9/30/2023,30
14,3/11/2024,11
36,12/13/2021,13
96,9/2/2023,2
18,10/29/2022,29
36,12/13/2021,13
21,9/30/2023,30
33,10/14/2024,14
46,1/27/2023,27
10,9/21/2024,21
53,3/24/2022,24
89,11/20/2023,20
38,10/29/2022,29
11,8/23/2024,23
70,7/29/2023,29
29,1/23/2023,23
42,10/4/2023,4
4,6/6/2023,6
81,3/20/2024,20
36,8/29/2022,29
2,2/17/2022,17
100,2/17/2022,17
77,9/10/2022,10
14,6/23/2022,23
5,8/23/2023,23
62,3/30/2024,30
70,9/2/2023,2
13,9/12/2024,12
71,5/15/2024,15
95,8/23/2024,23
51,3/11/2024,11
28,1/27/2023,27
19,3/7/2022,7
11,8/27/2023,27
26,2/26/2024,26
49,10/5/2022,5
33,6/15/2024,15
69,3/20/2024,20
65,4/14/2023,14
65,12/28/2022,28
53,6/27/2023,27
75,2/24/2022,24
33,4/16/2022,16
38,10/29/2024,29
54,4/5/2023,5
54,8/16/2022,16
60,2/26/2023,26
1,8/31/2023,31
49,4/25/2023,25
40,4/14/2023,14
82,11/7/2024,7
45,5/5/2024,5
88,7/19/2022,19
92,12/16/2021,16
27,8/16/2022,16
25,10/4/2023,4
85,6/15/2024,15
55,6/27/2023,27
58,7/19/2022,19
39,4/21/2023,21
6,9/9/2024,9
37,10/4/2023,4
90,10/9/2022,9
21,11/30/2024,30
30,11/25/2023,25
94,8/8/2022,8
62,6/15/2024,15
9,6/29/2024,29
4,2/2/2023,2
56,5/26/2023,26
4,6/27/2023,27
26,1/10/2023,10
58,9/9/2023,9
58,2/2/2023,2
94,6/4/2023,4
87,1/10/2022,10
82,7/19/2022,19
64,9/30/2023,30
1,12/29/2022,29
64,8/12/2024,12
52,7/24/2023,24
97,1/12/2023,12
40,5/8/2024,8
2,4/14/2023,14
66,11/18/2024,18
91,12/9/2022,9
49,3/11/2024,11
3,10/5/2023,5
19,12/4/2022,4
49,3/9/2023,9
74,3/25/2024,25
32,7/29/2023,29
73,8/23/2024,23
19,2/26/2024,26
93,7/29/2023,29
55,8/23/2024,23
82,9/12/2024,12
3,6/15/2024,15
70,7/8/2024,8
64,9/2/2023,2
15,12/13/2021,13
65,10/5/2023,5
86,11/18/2024,18
91,4/17/2024,17
47,4/3/2023,3
28,2/17/2022,17
6,12/9/2022,9
99,12/6/2024,6
90,6/24/2022,24
86,9/4/2024,4
47,3/3/2023,3
73,1/16/2022,16
83,4/12/2022,12
21,8/16/2022,16
88,6/6/2023,6
1,8/11/2023,11
8,8/29/2022,29
28,1/17/2023,17
8,8/27/2023,27
24,12/3/2024,3
21,3/7/2024,7
82,4/20/2022,20
16,2/11/2022,11
66,10/8/2022,8
46,4/12/2022,12
7,7/15/2024,15
10,3/20/2024,20
11,7/23/2022,23
83,10/10/2023,10
6,3/7/2024,7
36,10/13/2022,13
82,11/30/2024,30
34,1/22/2023,22
17,5/1/2023,1
69,11/30/2024,30
29,6/27/2023,27
22,7/23/2023,23
28,9/4/2024,4
38,4/21/2023,21
98,10/5/2022,5
29,1/27/2024,27
11,3/11/2022,11
53,4/16/2022,16
28,9/25/2024,25
46,7/23/2023,23
31,8/23/2024,23
98,4/3/2023,3
32,3/4/2023,4
72,6/24/2022,24
75,1/4/2024,4
35,4/25/2023,25
7,7/19/2022,19
86,9/9/2024,9
88,4/20/2022,20
2,9/10/2022,10
89,8/9/2022,9
15,12/12/2021,12
6,2/25/2022,25
7,9/12/2024,12
58,7/7/2023,7
32,2/28/2022,28
8,10/8/2022,8
66,7/14/2024,14
56,5/26/2023,26
38,9/2/2023,2
10,3/11/2022,11
11,8/31/2023,31
23,2/28/2022,28
93,12/4/2022,4
26,7/7/2023,7
23,12/3/2022,3
93,7/24/2023,24
93,8/9/2022,9
50,1/30/2024,30
37,2/26/2023,26
34,3/11/2024,11
14,4/3/2023,3
50,12/13/2021,13
52,11/25/2023,25
59,7/28/2022,28
55,5/16/2023,16
35,4/3/2023,3
36,3/16/2023,16
23,3/11/2024,11
71,12/16/2021,16
73,12/29/2023,29
27,1/6/2024,6
22,6/6/2023,6
4,3/20/2024,20
52,8/19/2022,19
99,7/28/2022,28
92,8/29/2022,29
6,1/12/2023,12
11,1/30/2024,30
24,10/29/2024,29
97,7/29/2022,29
98,7/27/2022,27
78,4/3/2023,3
86,3/10/2023,10
5,7/29/2023,29
53,6/15/2024,15
10,5/4/2022,4
17,3/30/2024,30
27,4/16/2022,16
74,2/21/2022,21
41,8/29/2022,29
31,12/29/2022,29
10,9/21/2024,21
99,1/30/2024,30
44,3/7/2022,7
29,10/10/2023,10
28,8/11/2023,11
62,4/22/2024,22
96,3/19/2024,19
42,1/10/2022,10
54,1/6/2024,6
10,5/2/2023,2
84,4/21/2023,21
26,1/22/2024,22
94,12/9/2022,9
27,5/15/2024,15
96,2/2/2023,2
56,2/25/2022,25
69,3/7/2024,7
40,10/26/2023,26
70,3/11/2024,11
10,11/1/2022,1
61,5/28/2024,28
2,10/5/2022,5
56,10/14/2024,14
22,4/22/2024,22
26,12/30/2022,30
52,10/5/2022,5
87,8/11/2023,11
31,5/16/2023,16
86,8/26/2023,26
75,7/10/2024,10
93,3/19/2024,19
78,9/2/2023,2
82,2/16/2023,16
100,2/28/2022,28
87,11/2/2022,2
25,4/1/2023,1
20,4/17/2024,17
80,10/10/2023,10
17,4/12/2022,12
82,2/26/2023,26
51,8/27/2023,27
73,9/28/2022,28
65,4/26/2023,26
15,4/16/2022,16
84,8/18/2022,18
17,8/11/2022,11
58,3/20/2024,20
62,1/20/2024,20
65,7/14/2024,14
23,2/1/2023,1
97,8/31/2023,31
99,8/11/2022,11
43,11/25/2023,25
31,10/26/2023,26
22,2/24/2022,24
81,12/25/2022,25
25,12/13/2021,13
22,5/8/2024,8
49,12/27/2022,27
76,4/19/2022,19
63,1/27/2023,27
73,6/12/2024,12
9,12/17/2021,17
42,11/7/2024,7
64,10/29/2024,29
8,7/29/2023,29
58,3/30/2024,30
76,9/2/2023,2
86,11/11/2023,11
76,9/6/2022,6
63,2/24/2022,24
53,9/2/2023,2
74,11/25/2023,25
85,8/12/2024,12
12,5/8/2024,8
8,12/17/2021,17
21,3/3/2023,3
2,6/25/2022,25
44,3/7/2024,7
100,4/1/2023,1
90,8/27/2023,27
2,3/30/2024,30
42,9/11/2024,11
18,4/20/2022,20
78,8/9/2022,9
53,5/29/2023,29
81,2/24/2022,24
54,12/13/2021,13
81,9/6/2022,6
66,4/22/2024,22
33,3/20/2024,20
80,10/9/2022,9
25,2/26/2023,26
11,8/27/2023,27
92,3/2/2024,2
81,7/7/2023,7
67,12/17/2021,17
65,8/18/2022,18
21,10/8/2022,8
53,6/12/2022,12
37,8/31/2023,31
18,10/29/2024,29
92,4/25/2023,25
68,2/15/2022,15
94,10/14/2022,14
39,5/8/2024,8
13,2/21/2022,21
30,8/13/2024,13
30,9/30/2023,30
34,11/11/2023,11
43,8/12/2024,12
72,8/11/2023,11
94,12/6/2023,6
73,6/29/2024,29
53,11/13/2023,13
73,9/9/2023,9
24,1/4/2024,4
6,2/16/2023,16
48,12/4/2022,4
36,12/30/2022,30
29,1/10/2023,10
28,3/10/2023,10
37,8/16/2022,16
16,4/22/2023,22
92,2/21/2022,21
75,12/28/2022,28
76,4/12/2024,12
37,8/19/2022,19
31,12/4/2022,4
76,3/26/2024,26
92,7/6/2024,6
81,2/2/2023,2
28,10/13/2022,13
59,8/23/2024,23
85,2/21/2022,21
16,3/9/2023,9
35,1/6/2024,6
90,2/25/2022,25
9,7/23/2023,23
31,2/2/2023,2
87,11/18/2024,18
51,8/16/2022,16
63,3/30/2024,30
67,1/6/2024,6
95,1/30/2024,30
86,5/4/2022,4
23,9/30/2023,30
10,1/10/2023,10
19,4/22/2023,22
100,12/4/2022,4
40,12/30/2022,30
20,1/23/2023,23
4,6/7/2023,7
55,1/30/2024,30
25,2/16/2023,16
97,6/15/2024,15
61,10/10/2023,10
84,4/21/2023,21
50,1/27/2024,27
77,7/29/2023,29
53,10/10/2023,10
60,12/27/2022,27
19,6/29/2024,29
79,12/6/2023,6
67,7/27/2022,27
40,10/9/2022,9
4,4/16/2022,16
28,12/29/2022,29
69,6/23/2022,23
27,11/1/2022,1
55,3/3/2023,3
3,12/30/2022,30
84,4/17/2024,17
49,12/30/2022,30
21,5/26/2023,26
99,12/12/2021,12
48,4/1/2023,1
44,12/25/2022,25
34,1/22/2023,22
43,1/4/2024,4
55,11/30/2024,30
64,3/20/2024,20
44,10/29/2024,29
75,5/29/2023,29
31,2/16/2023,16
39,8/16/2022,16
96,9/12/2024,12
66,9/10/2022,10
51,3/30/2024,30
14,1/4/2024,4
2,9/9/2023,9
75,4/20/2022,20
31,5/15/2024,15
66,1/17/2023,17
9,12/3/2024,3
29,11/13/2023,13
92,12/3/2022,3
80,12/9/2022,9
99,12/6/2024,6
39,10/29/2022,29
15,5/15/2024,15
29,1/22/2024,22
86,8/23/2024,23
89,5/28/2024,28
58,3/25/2024,25
20,8/11/2023,11
73,3/24/2022,24
48,5/29/2023,29
56,1/10/2022,10
70,12/12/2021,12
32,2/28/2022,28
56,6/23/2022,23
12,8/16/2022,16
40,7/20/2022,20
84,10/8/2022,8
76,1/12/2023,12
77,8/31/2023,31
25,6/27/2023,27
86,9/9/2024,9
16,3/24/2022,24
63,6/25/2022,25
87,3/16/2023,16
90,3/11/2024,11
79,8/18/2022,18
50,7/29/2023,29
10,8/19/2022,19
52,1/22/2024,22
7,7/24/2023,24
19,8/11/2023,11
44,7/20/2022,20
12,1/23/2023,23
16,4/12/2022,12
77,9/28/2022,28
62,10/14/2024,14
94,7/18/2024,18
32,2/11/2022,11
25,12/25/2022,25
47,5/5/2024,5
94,5/1/2023,1
85,1/27/2024,27
90,2/16/2023,16
44,5/1/2023,1
45,2/15/2022,15
16,9/4/2024,4
38,8/13/2024,13
19,4/17/2024,17
40,4/12/2024,12
46,1/6/2024,6
98,2/26/2024,26
88,7/15/2024,15
14,6/30/2022,30
78,8/31/2023,31
39,1/5/2024,5
53,6/15/2023,15
34,1/16/2022,16
75,12/16/2021,16
61,10/21/2023,21
90,9/4/2024,4
51,6/4/2023,4
2,1/12/2023,12
79,8/29/2022,29
39,7/29/2023,29
7,12/13/2021,13
76,2/26/2024,26
11,2/16/2023,16
15,8/31/2024,31
82,12/6/2024,6
91,1/6/2024,6
64,5/28/2024,28
69,11/20/2023,20
74,12/29/2022,29
55,12/3/2022,3
8,6/12/2022,12
65,12/16/2021,16
84,4/12/2024,12
70,6/24/2022,24
64,5/28/2024,28
85,12/9/2022,9
38,7/23/2022,23
62,3/20/2024,20
46,8/29/2022,29
81,5/2/2024,2
86,12/25/2022,25
40,1/20/2024,20
70,3/20/2024,20
10,12/16/2021,16
72,2/15/2022,15
60,4/1/2023,1
74,9/10/2022,10
58,4/16/2022,16
30,7/27/2022,27
60,3/11/2024,11
55,6/15/2023,15
89,1/16/2022,16
44,8/31/2023,31
31,2/26/2024,26
28,12/12/2021,12
63,6/12/2022,12
94,1/24/2023,24
17,4/20/2022,20
100,9/12/2024,12
64,9/30/2023,30
4,8/23/2024,23
73,10/5/2022,5
81,3/20/2024,20
99,7/6/2024,6
42,1/23/2023,23
38,12/30/2022,30
93,1/6/2024,6
43,11/13/2023,13
62,9/2/2023,2
70,8/23/2023,23
71,11/23/2024,23
18,4/19/2022,19
55,7/28/2022,28
19,5/2/2023,2
8,12/29/2023,29
58,1/27/2023,27
13,10/4/2023,4
15,11/13/2023,13
6,9/2/2023,2
3,3/20/2024,20
32,10/10/2023,10
21,9/11/2024,11
26,5/2/2024,2
50,12/16/2021,16
50,5/1/2023,1
32,4/17/2024,17
82,6/15/2023,15
40,10/27/2023,27
24,9/9/2024,9
63,1/24/2023,24
83,8/11/2023,11
25,12/28/2022,28
61,1/5/2022,5
63,9/30/2023,30
28,7/18/2024,18
55,1/5/2022,5
3,2/25/2022,25
24,12/29/2022,29
25,7/29/2023,29
86,3/7/2022,7
53,10/13/2022,13
9,6/12/2024,12
98,7/23/2022,23
23,9/10/2022,10
97,3/7/2024,7
3,1/27/2024,27
57,12/16/2021,16
70,7/15/2024,15
44,2/11/2022,11
11,1/6/2024,6
65,7/24/2023,24
96,9/6/2022,6
58,1/30/2024,30
100,10/9/2022,9
92,7/18/2024,18
27,10/29/2024,29
88,3/11/2024,11
86,11/25/2023,25
37,5/4/2024,4
93,12/29/2023,29
78,6/12/2024,12
53,7/29/2023,29
93,12/3/2022,3
1,12/29/2023,29
26,5/15/2024,15
52,1/6/2024,6
95,12/9/2022,9
78,4/20/2022,20
97,5/5/2024,5
95,5/2/2023,2
39,8/23/2023,23
87,6/27/2023,27
57,8/31/2024,31
60,7/27/2022,27
87,1/27/2023,27
98,2/24/2022,24
35,8/9/2022,9
24,7/17/2023,17
18,9/4/2024,4
19,8/20/2024,20
7,12/6/2024,6
99,5/16/2023,16
39,8/11/2023,11
77,4/12/2022,12
78,2/24/2022,24
22,7/19/2022,19
18,11/25/2023,25
8,11/7/2024,7
49,10/13/2022,13
31,7/19/2022,19
92,7/10/2024,10
23,6/15/2024,15
93,4/21/2023,21
61,1/24/2023,24
96,5/1/2023,1
75,7/18/2024,18
23,4/5/2023,5
68,2/28/2022,28
12,5/29/2023,29
46,2/1/2023,1
96,2/16/2023,16
47,6/15/2024,15
40,7/17/2023,17
42,11/7/2024,7
100,4/20/2022,20
86,10/14/2024,14
77,12/27/2022,27
34,8/11/2023,11
39,8/19/2022,19
14,7/6/2024,6
25,1/10/2022,10
91,3/20/2024,20
24,6/15/2023,15
8,1/20/2024,20
56,7/15/2024,15
71,1/20/2024,20
87,3/9/2023,9
73,6/12/2022,12
28,4/20/2022,20
23,2/16/2023,16
6,4/1/2023,1
53,4/16/2022,16
93,9/9/2023,9
12,12/3/2024,3
55,4/12/2024,12
9,6/29/2024,29
24,11/7/2024,7
33,11/30/2024,30
27,7/20/2022,20
61,1/4/2024,4
34,12/25/2022,25
97,11/18/2024,18
81,1/10/2023,10
11,11/13/2022,13
46,7/20/2022,20
84,4/22/2023,22
33,11/13/2022,13
59,10/29/2022,29
68,12/17/2021,17
74,4/5/2023,5
94,4/12/2024,12
